,genre,track_count,index,track_popularity,danceability,energy,instrumentalness,liveness,speechiness,loudness,tempo,valence
pluggnb,pluggnb,2,pluggnb,83.0,0.768,0.612,0.0,0.20789999999999997,0.2865,-6.79,171.48250000000002,0.3345
florida_drill,florida drill,3,florida_drill,77.0,0.7323333333333334,0.634,3.3033333333333334e-05,0.11046666666666666,0.17559999999999998,-6.2620000000000005,132.97,0.5163333333333333
florida_rap,florida rap,3,florida_rap,77.0,0.7323333333333334,0.634,3.3033333333333334e-05,0.11046666666666666,0.17559999999999998,-6.2620000000000005,132.97,0.5163333333333333
cloud_rap,cloud rap,2,cloud_rap,75.5,0.54,0.7024999999999999,0.0,0.5815,0.0899,-6.577500000000001,128.03,0.38
funktronica,funktronica,1,funktronica,77.0,0.893,0.745,0.0,0.0943,0.0571,-3.105,101.018,0.872
hawaiian_hip_hop,hawaiian hip hop,1,hawaiian_hip_hop,76.0,0.759,0.245,0.000154,0.102,0.138,-6.545,96.992,0.209
reggaeton_colombiano,reggaeton colombiano,17,reggaeton_colombiano,78.94117647058823,0.7639411764705882,0.7194117647058823,0.0006962811764705882,0.18195882352941178,0.1531294117647059,-4.613235294117647,135.34788235294118,0.6372352941176471
portland_hip_hop,portland hip hop,1,portland_hip_hop,73.0,0.94,0.335,0.0,0.262,0.505,-10.179,120.04,0.707
underground_hip_hop,underground hip hop,1,underground_hip_hop,73.0,0.94,0.335,0.0,0.262,0.505,-10.179,120.04,0.707
deep_underground_hip_hop,deep underground hip hop,2,deep_underground_hip_hop,75.5,0.7435,0.6719999999999999,0.0,0.1383,0.17809999999999998,-7.07,112.5515,0.782
viral_rap,viral rap,3,viral_rap,72.66666666666667,0.7223333333333333,0.677,0.0,0.16046666666666667,0.17046666666666666,-5.663666666666667,133.63966666666667,0.5143333333333333
modern_reggae,modern reggae,1,modern_reggae,72.0,0.562,0.8,0.0,0.199,0.112,-5.404,95.029,0.471
bedroom_pop,bedroom pop,6,bedroom_pop,80.66666666666667,0.6653333333333332,0.5398333333333334,0.031579949999999996,0.2778333333333333,0.053366666666666666,-9.078166666666666,133.33383333333333,0.4663333333333333
norwegian_indie,norwegian indie,1,norwegian_indie,90.0,0.566,0.366,0.181,0.155,0.028,-12.808,129.96,0.237
classic_texas_country,classic texas country,1,classic_texas_country,81.0,0.753,0.657,0.0,0.112,0.0449,-3.061,107.01,0.437
reggaeton_flow,reggaeton flow,7,reggaeton_flow,76.57142857142857,0.8152857142857144,0.756142857142857,0.0012655142857142857,0.1363285714285714,0.1001,-4.061142857142857,105.78928571428571,0.6367142857142857
indie_anthem-folk,indie anthem-folk,1,indie_anthem-folk,74.0,0.586,0.624,1.78e-06,0.133,0.113,-5.946,68.976,0.267
tennessee_hip_hop,tennessee hip hop,1,tennessee_hip_hop,74.0,0.918,0.58,6.12e-05,0.106,0.322,-7.501,139.977,0.611
indie_soul,indie soul,3,indie_soul,31.666666666666668,0.6463333333333333,0.6396666666666667,0.0,0.13023333333333334,0.12016666666666666,-7.112333333333335,132.416,0.5976666666666667
