,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,artists_popularity,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists_popularity_highest,genre_list
1618,0azC730Exh71aQlOt9Zj3y,This Is What You Came For,84.0,2020-06-08T10:16:10Z,2016,This Is What You Came For,2016-04-29,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,barbadian pop,pop,urban contemporary","Calvin Harris,Rihanna","23471772,58811007",222160.0,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,58811007,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance', 'barbadian pop', 'pop', 'urban contemporary']"
1619,4pAl7FkDMNBsjykPXo91B3,Needed Me,84.0,2020-06-08T10:16:10Z,2016,Needed Me,2016-01-28,"barbadian pop,pop,urban contemporary",Rihanna,58811007,191600.0,0.671,0.314,-8.091,0.244,0.11,0.0,0.0825,0.296,110.898,58811007,"['barbadian pop', 'pop', 'urban contemporary']"
1620,2Z8WuEywRWYTKe1NybPQEW,Ride,84.0,2020-06-08T10:16:10Z,2016,Ride,2015-05-15,"modern rock,pop,pov: indie,rock",Twenty One Pilots,24150978,214506.0,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,24150978,"['modern rock', 'pop', 'pov: indie', 'rock']"
1621,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,83.0,2020-06-08T10:16:10Z,2016,Cake By The Ocean,2016-11-18,"dance pop,pop",DNCE,4603682,219146.0,0.774,0.753,-5.446,0.0517,0.152,0.0,0.0371,0.896,119.002,4603682,"['dance pop', 'pop']"
1622,2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,82.0,2020-06-08T10:16:10Z,2016,Dancing On My Own,2018-03-09,pop,Calum Scott,5436540,260285.0,0.681,0.174,-8.745,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,5436540,['pop']
1623,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,82.0,2020-06-08T10:16:10Z,2016,In the Name of Love,2016-07-29,"dutch edm,edm,pop,pop dance,progressive house,dance pop,pop","Martin Garrix,Bebe Rexha","15754601,8712121",195706.0,0.501,0.519,-5.88,0.0409,0.109,0.0,0.454,0.168,133.99,15754601,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'dance pop', 'pop']"
1624,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,82.0,2020-06-08T10:16:10Z,2016,Adventure of a Lifetime,2015-12-04,"permanent wave,pop",Coldplay,48429785,263786.0,0.638,0.924,-3.887,0.036,0.00205,0.000175,0.149,0.53,111.995,48429785,"['permanent wave', 'pop']"
1625,0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,82.0,2022-03-21T08:27:02Z,2016,Wait a Minute!,2015-01-11,"afrofuturism,pop,post-teen pop,pov: indie",WILLOW,2368294,196520.0,0.764,0.705,-5.279,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,2368294,"['afrofuturism', 'pop', 'post-teen pop', 'pov: indie']"
1626,0vbtURX4qv1l7besfwmnD8,I Took A Pill In Ibiza - Seeb Remix,82.0,2020-06-08T10:16:10Z,2016,I Took A Pill In Ibiza - Seeb Remix,2016-05-06,"dance pop,pop,pop dance,pop rap,pop dance","Mike Posner,Seeb","1376827,358900",197933.0,0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,1376827,"['dance pop', 'pop', 'pop dance', 'pop rap', 'pop dance']"
1627,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,81.0,2020-06-08T10:16:10Z,2016,Don't Let Me Down,2016-02-05,"pop,alt z,pop","The Chainsmokers,Daya","20506342,1537147",208373.0,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,20506342,"['pop', 'alt z', 'pop']"
1628,43PuMrRfbyyuz4QpZ3oAwN,Exchange,81.0,2020-06-08T10:16:10Z,2016,Exchange,2015-10-02,"kentucky hip hop,r&b,rap",Bryson Tiller,7688884,194613.0,0.525,0.433,-10.598,0.185,0.107,0.0,0.135,0.276,160.108,7688884,"['kentucky hip hop', 'r&b', 'rap']"
1629,698ItKASDavgwZ3WjaWjtz,Faded,81.0,2020-06-08T10:16:10Z,2016,Faded,2018-12-14,electro house,Alan Walker,39789307,212106.0,0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,39789307,['electro house']
1630,0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,81.0,2020-06-08T10:16:10Z,2016,Can I Be Him,2016-10-28,"pop,talent show,uk pop",James Arthur,14499776,246880.0,0.696,0.543,-6.164,0.0489,0.308,0.0,0.0939,0.479,107.969,14499776,"['pop', 'talent show', 'uk pop']"
1631,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,80.0,2020-06-08T10:16:10Z,2016,Hotline Bling,2016-05-06,"canadian hip hop,canadian pop,hip hop,pop rap,rap",Drake,82606361,267066.0,0.891,0.628,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966,82606361,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
1632,1vvNmPOiUuyCbgWmtc6yfm,My Way,80.0,2020-06-08T10:16:10Z,2016,My Way,2016-09-16,"dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance",Calvin Harris,23471772,219159.0,0.818,0.913,-3.06,0.0426,0.093,3.69e-05,0.161,0.536,119.986,23471772,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
1633,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",80.0,2020-06-08T10:16:10Z,2016,"i hate u, i love u (feat. olivia o'brien)",2016-03-25,"alt z,pop,alt z,pop","gnash,Olivia O'Brien","1595278,2028624",251033.0,0.492,0.275,-13.4,0.3,0.687,0.0,0.101,0.18,92.6,2028624,"['alt z', 'pop', 'alt z', 'pop']"
1634,0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,80.0,2020-06-08T10:16:10Z,2016,PILLOWTALK,2016-03-25,"pop,uk pop",ZAYN,22903264,202746.0,0.584,0.7,-4.275,0.0456,0.117,0.0,0.0939,0.438,124.944,22903264,"['pop', 'uk pop']"
1635,1A8j067qyiNwQnZT0bzUpZ,This Girl (Kungs Vs. Cookin' On 3 Burners),80.0,2020-06-08T10:16:10Z,2016,This Girl (Kungs Vs. Cookin' On 3 Burners),2016-11-04,"edm,pop dance,uk dance,bboy,instrumental funk","Kungs,Cookin' On 3 Burners","933525,82573",195546.0,0.792,0.717,-4.759,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,933525,"['edm', 'pop dance', 'uk dance', 'bboy', 'instrumental funk']"
1636,6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,79.0,2020-06-08T10:16:10Z,2016,White Iverson,2016-12-09,"dfw rap,melodic rap,pop,rap",Post Malone,42889662,256532.0,0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.098,42889662,"['dfw rap', 'melodic rap', 'pop', 'rap']"
